N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,58076676.666667,20286969.666667,571279.666667,651148162.000000,1366293526.666667,2096376614.666667
1000,231619660.333333,74833517.000000,2456101.000000,2579569401.666667,5444870036.333333,8333348716.333333
1500,519910442.000000,204264701.333333,7469690.333333,6596380245.333333,12365241640.000000,19693266719.000000
2000,929203493.666667,290613461.333333,13818053.666667,10546070475.333334,21932786460.000000,33712491944.000000
2500,1464886320.666667,456927556.000000,25650259.666667,16550699542.000000,34230319956.333332,52728483634.666664
3000,2232012550.000000,647884936.333333,34574872.666667,29077794178.666668,49372396525.333336,81364663063.000000
3500,3182359026.333333,1081022598.666667,54744939.000000,41331559712.000000,67102822686.666664,112752508962.666672
4000,4272123815.333333,1146935464.666667,92739164.666667,46285194357.000000,88081547051.666672,139878539853.333344
4500,5530221582.333333,1463660752.666667,92066221.666667,68040955573.666664,111255084986.333328,186381989116.666656
5000,6915510867.333333,2045479169.333333,106530048.666667,85297379781.000000,136544289097.666672,230909188964.000000
5500,8493416910.000000,2224237616.333333,142638750.333333,95483618296.333328,165416804126.333344,271760715699.333344
6000,10215690605.333334,2591162357.666667,160183527.000000,115212928883.000000,196940099069.333344,325120064442.333313
6500,12118189196.333334,3057626442.333333,207103112.333333,147349601504.000000,231054710430.000000,393787230685.000000
7000,14064993686.666666,4383996956.000000,230652164.000000,171522310336.666656,267900896760.666656,458102849904.000000
7500,16233687610.666666,4560886312.666667,284939408.666667,160309625619.666656,308713218786.000000,490102357737.666687
8000,18643963549.000000,4658153118.666667,525693823.000000,203165899652.666656,349584851348.333313,576578561491.666626
8500,21049075301.333332,5303690698.000000,379635361.000000,237373393090.000000,394134917532.333313,658240711982.666626
9000,23846121666.666668,5955283203.000000,401317294.666667,236550060508.666656,442075495414.666687,708828278087.666626
9500,26479310453.666668,6678339467.666667,466176966.333333,259093981867.666656,492103973662.666687,784821782418.000000
10000,29638596376.666668,7505251901.666667,502112164.666667,334895775880.000000,545979564592.333313,918521300915.333374
