N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,16063903.333333,143428821.333333,414637.666667,797326102.666667,353926828.333333,2623687506.333333
1000,60248152.333333,561343220.333333,2352048.666667,3587812085.000000,1422206754.000000,11177351278.666666
1500,136266071.000000,1252683237.000000,5029409.666667,7530368264.666666,3698125504.000000,25271564512.666664
2000,239663067.333333,2208372122.000000,8642386.666667,13714067492.666666,6996950588.666666,46428067868.333328
2500,381892690.333333,3430616260.333333,16720479.333333,25192270466.666664,11075568617.333332,80150576722.000000
3000,556661596.333333,4924735353.666666,25165043.666667,32132513779.000000,15325470520.666666,105927803588.333328
3500,785224952.666667,6683401742.666666,33886539.000000,44307731854.000000,21544367201.333332,146712558549.000000
4000,1047282785.000000,8702458200.333332,40648315.333333,58154441265.666664,29804170401.000000,195454613207.666656
4500,1340165380.000000,10992851297.666666,56919167.333333,85620728229.000000,36146501647.000000,268321111766.666656
5000,1662418519.333333,13527722236.000000,69135265.333333,91193913051.000000,40663635531.666664,294226954505.333313
5500,2045746877.333333,16352599538.666666,85864080.000000,128465977822.333328,51670993864.000000,397240725276.000000
6000,2432001838.666667,19447892469.000000,93492066.000000,130561911903.000000,64866446358.333328,434663952920.666626
6500,2875530597.000000,22800193248.000000,119593834.666667,155987745541.000000,71897957026.000000,507350527761.000000
7000,3335768375.000000,26417703225.333332,144936539.666667,180982022614.000000,83740232372.666656,589205136787.000000
7500,3858842650.666667,30243841183.000000,160123171.000000,216482738963.666656,93345325241.666656,699047388524.333252
8000,4402983730.000000,34415897556.666664,178013610.666667,248777608351.333313,118643884985.333328,812632941932.666626
8500,4990343856.333333,38840258961.000000,206281310.000000,267908396443.000000,124920503850.666656,874374603941.000000
9000,5616052407.333333,43579403832.333328,239524056.333333,306707368554.666626,133253473844.666656,980917246826.333252
9500,6270027773.666666,48415168907.333328,259553245.666667,333622885619.666626,153657283631.000000,1084383064963.000000
10000,6967793251.666666,53622563038.666664,268445137.666667,369121587933.666626,178143499197.000000,1216645919316.000000
