N,pairwise_squared_euclidean_distance,pairwise_affinity_perplexity,symmetrize_affinities,low_dimensional_affinities,gradient_computation_update_normalize,total
500,50919252.333333,143774115.666667,655059.000000,787133618.333333,1584520455.000000,2567002500.333333
1000,202244008.666667,561514040.333333,3506774.333333,3220693961.333333,6536345101.666666,10524303886.333332
1500,455649653.000000,1252248704.666667,9617874.000000,7854279509.666666,14976482487.000000,24548278228.333332
2000,806987276.000000,2208237675.666667,17234309.666667,13030643693.666666,26693981495.666664,42757084450.666664
2500,1288486334.000000,3433183598.666667,31362526.666667,23625511116.333332,41258189642.333328,69636733218.000000
3000,1969157636.666667,4923908539.666666,41832281.000000,31815650832.666664,59381383921.666664,98131933211.666656
3500,2795210590.000000,6674379077.333333,62788886.666667,44226669012.666664,81121424377.000000,134880471943.666656
4000,3765390773.000000,8692872759.666666,105346073.333333,59545441685.666664,106035857319.666656,178144908611.333313
4500,4879189874.333333,10994817313.666666,105413402.000000,73042772451.666656,134056347704.333328,223078540746.000000
5000,6117933552.666666,13530558865.000000,127387254.666667,90726713294.000000,165482773113.666656,275985366080.000000
5500,7493450314.666666,16342187681.666666,164398657.666667,114742205171.000000,198963275383.333313,337705517208.333313
6000,8983622748.000000,19449867209.666664,191365349.666667,134021809190.000000,236144349191.000000,398791013688.333313
6500,10577503931.666666,22795468610.666664,239727630.666667,154884256914.000000,277698269016.666626,466195226103.666626
7000,12416154540.666666,26418746276.333332,275633047.333333,192495615684.000000,321507695230.333313,553113844778.666626
7500,14326271747.666666,30248278465.000000,334544773.333333,207571528577.666656,369580503958.000000,622061127521.666626
8000,16471274399.000000,34398689001.333328,578829413.666667,248474342730.666656,424889203105.000000,724812338649.666626
8500,18586999493.000000,38861993884.333328,440110336.333333,272823191225.666656,473060921085.666626,803773216025.000000
9000,20881724407.000000,43557979633.333328,477316192.333333,300055757663.666626,532371941913.333313,897344719809.666626
9500,23299285413.000000,48404473064.666664,544786798.666667,369322734876.666626,590476958070.000000,1032048238223.000000
10000,25882091639.333332,53618175611.333328,587232361.333333,373086675815.333313,657327329259.333252,1110501504686.666504
