N,base_version,unroll_accum4,unroll_accum8
4,40.000000,46.000000,57.000000
8,50.000000,135.000000,70.000000
16,123.000000,151.000000,109.000000
32,262.000000,149.000000,158.000000
64,463.000000,290.000000,254.000000
128,865.000000,512.000000,510.000000
256,1679.000000,932.000000,916.000000
512,3311.000000,1770.000000,1725.000000
1024,6572.000000,3453.000000,3365.000000
2048,13104.000000,6808.000000,8891.000000
4096,68515.000000,306474.000000,14783.000000
8192,52371.000000,27959.000000,63310.000000
